,Training,Testing
Accuracy,49.83087702343561,50.67632850241546
True Positive Rate,100.0,100.0
True Negative Rate,0.0,0.0
False Discovery Rate,50.16912297656438,49.32367149758454
F1 Score,66.51616544384423,67.26514908624559
Recall,100.0,100.0
