,Training,Testing
Accuracy,49.89238740534077,50.43034746573159
True Positive Rate,100.0,100.0
True Negative Rate,0.0,0.0
False Discovery Rate,50.10761259465922,49.56965253426841
F1 Score,66.57094235269092,67.04810341173977
Recall,100.0,100.0
