,Training,Testing
Accuracy,74.26914713698962,76.32850241545893
True Positive Rate,82.98181818181818,84.84270734032413
True Negative Rate,65.61521791476042,67.58080313418218
False Discovery Rate,29.43722943722944,27.108927108927112
F1 Score,76.27005347593582,78.41409691629956
Recall,82.98181818181818,84.84270734032413
