,Training,Testing
Accuracy,95.04447268106735,91.37055837563452
True Positive Rate,90.86294416243655,85.71428571428571
True Negative Rate,99.23664122137404,96.96969696969697
False Discovery Rate,0.8310249307479225,3.4482758620689653
F1 Score,94.83443708609272,90.81081081081082
Recall,90.86294416243655,85.71428571428571
