,Training,Testing
Accuracy,90.3430749682338,89.84771573604061
True Positive Rate,81.21827411167513,80.61224489795919
True Negative Rate,99.49109414758269,98.98989898989899
False Discovery Rate,0.6211180124223602,1.25
F1 Score,89.3854748603352,88.76404494382022
Recall,81.21827411167513,80.61224489795919
