,Training,Testing
Accuracy,75.22518931845357,76.21931781957284
True Positive Rate,84.3585237258348,84.45006321112515
True Negative Rate,66.13108495068406,67.84565916398714
False Discovery Rate,28.735321905790258,27.233115468409586
F1 Score,77.26075504828798,78.17437097717963
Recall,84.3585237258348,84.45006321112515
